,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Geral 1 - T1,0.85,0.849047619047619,0.85,0.8459821428571427,0.8468900407256571,0.8005698005698005,0.9060334528076464,0.7673121159845194,0.8511644313677014
1,Geral 1 - T2,0.85,0.849047619047619,0.85,0.8459821428571427,0.8468900407256571,0.8005698005698005,0.9060334528076464,0.7673121159845194,0.8511644313677014
2,Geral 1 - T3,0.85,0.849047619047619,0.85,0.8459821428571427,0.8468900407256571,0.8005698005698005,0.9060334528076464,0.7673121159845194,0.8511644313677014
3,Geral 1 - T4,0.85,0.849047619047619,0.85,0.8459821428571427,0.8468900407256571,0.8005698005698005,0.9060334528076464,0.7673121159845194,0.8511644313677014
4,Geral 1 - T5,0.85,0.849047619047619,0.85,0.8459821428571427,0.8468900407256571,0.8005698005698005,0.9060334528076464,0.7673121159845194,0.8511644313677014
5,Geral 2 - T1,0.55,0.6220238095238095,0.55,0.5635661764705883,0.5928658274019099,0.556980056980057,0.7716153470185728,0.32946675626458505,0.6404870771335132
6,Geral 2 - T2,0.675,0.68125,0.675,0.6773420479302832,0.6794892188052315,0.660968660968661,0.835574834365157,0.49168072442076277,0.7253442380463498
7,Geral 2 - T3,0.675,0.7130882352941177,0.675,0.6772811059907834,0.6935103070899571,0.6381766381766382,0.849351037254263,0.49824618554200306,0.7270126608402862
8,Geral 2 - T4,0.625,0.5841477272727273,0.625,0.5949624060150376,0.5857110768835836,0.5954415954415954,0.7424968773759096,0.4148505805038096,0.6412165165670296
9,Geral 2 - T5,0.575,0.5677083333333333,0.575,0.5666050420168067,0.5662813821839685,0.6025641025641025,0.7604757249918539,0.3535429481982159,0.6431070699133083
10,Geral 3 - T1,0.85,0.85,0.85,0.85,0.85,0.8119658119658119,0.8988948626045399,0.7660818713450293,0.8536202248567838
11,Geral 3 - T2,0.9,0.9307692307692307,0.9,0.9,0.9144529943124791,0.8974358974358975,0.9553763440860216,0.8596491228070176,0.9224217452781328
12,Geral 3 - T3,0.9,0.9,0.9,0.9,0.9,0.8746438746438746,0.956899641577061,0.8440545808966862,0.9105145054069785
13,Geral 3 - T4,0.85,0.859090909090909,0.85,0.8512500000000001,0.8551638530287983,0.8233618233618234,0.9422043010752688,0.7708795994533395,0.8735766591552968
14,Geral 3 - T5,0.375,0.2421875,0.375,0.27679738562091505,0.2524433489015741,0.4415954415954417,0.8763739545997611,0.15452877499092177,0.523470915032259
