,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Geral 1 - T1,0.925,0.9254464285714284,0.925,0.9241830065359478,0.9246818663838813,0.9002849002849004,0.9454450418160096,0.883458194078741,0.9234706028282638
1,Geral 1 - T2,0.875,0.88125,0.875,0.8689655172413794,0.8737012987012989,0.8262108262108262,0.9764336917562723,0.8101271280758544,0.8921152722227991
2,Geral 1 - T3,0.8,0.8071428571428572,0.8,0.8028835978835979,0.8052746882372768,0.7564102564102564,0.9483422939068099,0.6902964675205597,0.836675746184781
3,Geral 1 - T4,0.925,0.94375,0.925,0.9254658385093169,0.9342353525322741,0.923076923076923,0.9632317801672642,0.8921320713901824,0.940181351925487
4,Geral 1 - T5,0.85,0.85,0.85,0.85,0.85,0.8119658119658119,0.9809438470728793,0.7660818713450293,0.8809698863462304
5,Geral 2 - T1,0.5,0.6151315789473684,0.5,0.5171130952380952,0.561304947762665,0.5242165242165243,0.6397577929835995,0.27745578070670507,0.5750930883209296
6,Geral 2 - T2,0.475,0.5378787878787878,0.475,0.48658231368186877,0.5111605384698005,0.4871794871794872,0.6817299337460627,0.2223317736458624,0.5600233197984501
7,Geral 2 - T3,0.75,0.7570488721804511,0.75,0.7502815315315315,0.7534315073630523,0.7307692307692308,0.8584853915499078,0.6070068637915865,0.7808953765607303
8,Geral 2 - T4,0.575,0.6112106643356643,0.575,0.582305339265851,0.5966368537123253,0.5982905982905984,0.7775469751276204,0.36445610051412686,0.6574914757101814
9,Geral 2 - T5,0.575,0.5946103896103896,0.575,0.5780357142857143,0.5862006035500479,0.5982905982905984,0.7025985663082437,0.3589674648857437,0.6290299227162967
10,Geral 3 - T1,0.9,0.9,0.9,0.9,0.9,0.8746438746438746,0.930704898446834,0.8440545808966862,0.9017829243635695
11,Geral 3 - T2,0.85,0.849047619047619,0.85,0.8459821428571427,0.8468900407256571,0.8005698005698005,0.9281212664277181,0.7673121159845194,0.8585270359077253
12,Geral 3 - T3,0.75,0.7476973684210526,0.75,0.748012718600954,0.7476128697457187,0.7236467236467236,0.871590230259585,0.6073128820559608,0.7809499412173424
13,Geral 3 - T4,0.85,0.849047619047619,0.85,0.8459821428571427,0.8468900407256571,0.8005698005698005,0.9525089605734767,0.7673121159845194,0.8666562672896448
14,Geral 3 - T5,0.9,0.9,0.9,0.9,0.9,0.8746438746438746,0.9411738351254482,0.8440545808966862,0.9052725699231076
