,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Geral 1 - T1,0.875,0.8866071428571429,0.875,0.8748583743842364,0.8804466275396508,0.8447293447293447,0.9483273596176822,0.8100786092902038,0.8911677772955592
1,Geral 1 - T2,0.925,0.9279166666666667,0.925,0.9254736842105263,0.926706256273001,0.9116809116809117,0.9833632019115889,0.8843574999619455,0.9405834566218338
2,Geral 1 - T3,0.925,0.9254464285714284,0.925,0.9241830065359478,0.9246818663838813,0.9002849002849004,0.9856182795698925,0.883458194078741,0.936861682079558
3,Geral 1 - T4,0.875,0.88125,0.875,0.8689655172413794,0.8737012987012989,0.8262108262108262,0.9759707287933095,0.8101271280758544,0.8919609512351448
4,Geral 1 - T5,0.9,0.9090909090909092,0.9,0.9008333333333333,0.9048990400529625,0.886039886039886,0.9896057347670251,0.8485500880632478,0.9268482202866245
5,Geral 2 - T1,0.6,0.5980113636363636,0.6,0.5961764705882353,0.5966405890473999,0.6282051282051282,0.8317435103725426,0.3884967403897289,0.6855297425416902
6,Geral 2 - T2,0.675,0.72774064171123,0.675,0.6824999999999999,0.7041404612159329,0.6937321937321936,0.8558542413381124,0.5251209886751068,0.7512422987620796
7,Geral 2 - T3,0.675,0.6623868778280543,0.675,0.6596809712027103,0.6594017724195973,0.7022792022792023,0.8020697567068534,0.509686435103961,0.7212502438018844
8,Geral 2 - T4,0.7,0.7030882352941176,0.7,0.7007894736842104,0.7019933554817275,0.698005698005698,0.7854485717388944,0.5367665493030329,0.7284825417421065
9,Geral 2 - T5,0.65,0.6815126050420168,0.65,0.6577083333333333,0.6699532866199533,0.6680911680911681,0.844864641033996,0.4718482183051927,0.7276363652483724
10,Geral 3 - T1,0.775,0.7837500000000001,0.775,0.7728260869565217,0.7777805362462761,0.7535612535612536,0.9166469805582709,0.6588949285430759,0.8159962567886002
11,Geral 3 - T2,0.875,0.8783333333333333,0.875,0.8757894736842105,0.8771077283372367,0.849002849002849,0.9625448028673835,0.8066117856795766,0.8962184600691564
12,Geral 3 - T3,0.925,0.94375,0.925,0.9254658385093169,0.9342353525322741,0.923076923076923,0.976926523297491,0.8921320713901824,0.9447462663022294
13,Geral 3 - T4,0.9,0.9090909090909092,0.9,0.9008333333333333,0.9048990400529625,0.886039886039886,0.9519115890083633,0.8485500880632478,0.9142835050337372
14,Geral 3 - T5,0.875,0.8783333333333333,0.875,0.8757894736842105,0.8771077283372367,0.849002849002849,0.9450716845878135,0.8066117856795766,0.8903940873092998
