,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Geral 1 - T1,0.9,0.9028571428571428,0.9,0.8973214285714285,0.8995557201036654,0.8632478632478632,0.9853345280764636,0.8462131047747014,0.9160460371426641
1,Geral 1 - T2,0.9,0.9028571428571428,0.9,0.8973214285714285,0.8995557201036654,0.8632478632478632,0.9730884109916367,0.8462131047747014,0.9119639981143884
2,Geral 1 - T3,0.925,0.9254464285714284,0.925,0.9241830065359478,0.9246818663838813,0.9002849002849004,0.9896057347670251,0.883458194078741,0.9381908338119356
3,Geral 1 - T4,0.9,0.9028571428571428,0.9,0.8973214285714285,0.8995557201036654,0.8632478632478632,0.9669653524492233,0.8462131047747014,0.9099229786002506
4,Geral 1 - T5,0.875,0.88125,0.875,0.8689655172413794,0.8737012987012989,0.8262108262108262,0.9836021505376344,0.8101271280758544,0.8945047584832532
5,Geral 2 - T1,0.6,0.5847607655502391,0.6,0.5909791370317686,0.586896572738838,0.584045584045584,0.7463859020310633,0.37671521414713366,0.6391093529384951
6,Geral 2 - T2,0.65,0.67125,0.65,0.6545454545454545,0.6631578947368422,0.6538461538461539,0.7673482133159554,0.4722924254816931,0.6947840872996505
7,Geral 2 - T3,0.575,0.592012987012987,0.575,0.5794444444444444,0.5859705306998171,0.5797720797720798,0.7802446508091669,0.35416843460652253,0.6486624204270213
8,Geral 2 - T4,0.55,0.5821428571428571,0.55,0.5468921095008051,0.5630333434681261,0.5911680911680911,0.7783588573911155,0.3407261794912863,0.6441867640091109
9,Geral 2 - T5,0.625,0.632922077922078,0.625,0.6244444444444445,0.6284233608884963,0.6538461538461539,0.6783303464755077,0.4309529190740613,0.6535332870700526
10,Geral 3 - T1,0.9,0.9,0.9,0.9,0.9,0.8746438746438746,0.9530764635603346,0.8440545808966862,0.9092401127347364
11,Geral 3 - T2,0.85,0.8570833333333333,0.85,0.8513235294117646,0.8542646019005588,0.8190883190883191,0.9482363962202672,0.7685561534059264,0.8738631057363818
12,Geral 3 - T3,0.875,0.8741071428571429,0.875,0.8736383442265794,0.8736921173559562,0.8376068376068376,0.9504181600955794,0.8051027001471455,0.8872390383527912
13,Geral 3 - T4,0.875,0.8783333333333333,0.875,0.8757894736842105,0.8771077283372367,0.849002849002849,0.9582735961768221,0.8066117856795766,0.894794724505636
14,Geral 3 - T5,0.9,0.9,0.9,0.9,0.9,0.8746438746438746,0.9630227001194743,0.8440545808966862,0.9125555249211162
