,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Geral 1 - T1,0.9,0.9113157894736842,0.9,0.8964092664092664,0.9025198060464745,0.8632478632478632,0.9769828662973825,0.8475485446275659,0.9142501785305734
1,Geral 1 - T2,0.9,0.8981907894736842,0.9,0.8981319554848968,0.8979242345614946,0.8746438746438746,0.9241066579776257,0.8435447972803215,0.8988915890609984
2,Geral 1 - T3,0.9,0.8981907894736842,0.9,0.8981319554848968,0.8979242345614946,0.8746438746438746,0.9241066579776257,0.8435447972803215,0.8988915890609984
3,Geral 1 - T4,0.775,0.7622916666666667,0.775,0.7666687306501548,0.7635751821720291,0.7236467236467238,0.9696222982513305,0.6462760757948205,0.8189480680233611
4,Geral 1 - T5,0.825,0.8200657894736842,0.825,0.8218378378378379,0.8206051621904429,0.7863247863247862,0.9777166829586184,0.7264831572567789,0.8615488771579493
5,Geral 2 - T1,0.6,0.6128571428571428,0.6,0.6029605263157894,0.6079426365140651,0.5982905982905983,0.7271960193331161,0.36662189206370577,0.6444764180459265
6,Geral 2 - T2,0.625,0.6852609890109891,0.625,0.6363453079178886,0.6611190683771329,0.6381766381766382,0.7315004887585534,0.4413410276745154,0.6769320651041081
7,Geral 2 - T3,0.6,0.6078947368421053,0.6,0.6012856606606607,0.6045015876190714,0.5797720797720798,0.8300179211469534,0.3693532792728577,0.6714305295127015
8,Geral 2 - T4,0.5,0.5087987012987012,0.5,0.5008249158249157,0.5047274983698282,0.517094017094017,0.7270677202128815,0.2389917079052144,0.5829630785589089
9,Geral 2 - T5,0.6,0.6261538461538462,0.6,0.601036866359447,0.6128849521062931,0.6353276353276353,0.8055949277723471,0.4052326490441302,0.6846025050687584
10,Geral 3 - T1,0.6,0.6128571428571428,0.6,0.6029605263157894,0.6079426365140651,0.5982905982905983,0.7271960193331161,0.36662189206370577,0.6444764180459265
11,Geral 3 - T2,0.625,0.6852609890109891,0.625,0.6363453079178886,0.6611190683771329,0.6381766381766382,0.7315004887585534,0.4413410276745154,0.6769320651041081
12,Geral 3 - T3,0.6,0.6078947368421053,0.6,0.6012856606606607,0.6045015876190714,0.5797720797720798,0.8353800097751712,0.3693532792728577,0.6732178923887742
13,Geral 3 - T4,0.475,0.4732352941176471,0.475,0.4735338345864662,0.47322021831988614,0.49145299145299143,0.6573327359617682,0.1885936524578224,0.5406686485782153
14,Geral 3 - T5,0.575,0.6006868131868133,0.575,0.5743293146518953,0.5867231782235347,0.6096866096866097,0.8139703486477681,0.370048529106051,0.6701267121859708
