,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Geral 1 - T1,0.925,0.9390625,0.925,0.9213793103448275,0.9288961038961038,0.8888888888888888,0.9817502986857825,0.8897465018425231,0.9331784304902584
1,Geral 1 - T2,0.925,0.9254464285714284,0.925,0.9241830065359478,0.9246818663838813,0.9002849002849004,0.9861409796893668,0.883458194078741,0.9370359154527161
2,Geral 1 - T3,0.95,0.9566666666666667,0.95,0.9486607142857142,0.9522213994816735,0.9259259259259259,0.9842891278375149,0.9251140935648833,0.954145484415038
3,Geral 1 - T4,0.9,0.9,0.9,0.9,0.9,0.8746438746438746,0.9886798088410991,0.8440545808966862,0.9211078944949912
4,Geral 1 - T5,0.9,0.9,0.9,0.9,0.9,0.8746438746438746,0.9713560334528075,0.8440545808966862,0.915333302698894
5,Geral 2 - T1,0.55,0.5254464285714285,0.55,0.5243788819875776,0.5217948717948717,0.576923076923077,0.6766271586836103,0.31929863777125234,0.5917817024671864
6,Geral 2 - T2,0.6,0.421875,0.6,0.4828235294117647,0.44203140661543605,0.5555555555555555,0.7043594547626806,0.43047301604613925,0.567315472311224
7,Geral 2 - T3,0.675,0.6625,0.675,0.6627329192546585,0.661196623634558,0.6837606837606837,0.7922735418703162,0.5034034999783382,0.7124102830885194
8,Geral 2 - T4,0.525,0.38325000000000004,0.525,0.44302325581395346,0.40510704727921504,0.5185185185185185,0.6236545563158467,0.26460417019458365,0.5157600407045267
9,Geral 2 - T5,0.575,0.5485765550239234,0.575,0.5584988249118684,0.5517362505018065,0.576923076923077,0.7738201911589008,0.3414898954216874,0.6341598395279281
10,Geral 3 - T1,0.45,0.7340725806451613,0.45,0.3686919504643963,0.3973813261689352,0.5227920227920227,0.7415309004018681,0.2957986793037791,0.5539014164542754
11,Geral 3 - T2,0.55,0.67,0.55,0.5170480549199085,0.5643208843854263,0.6267806267806267,0.7824522102747908,0.40155785387702225,0.6578512404802813
12,Geral 3 - T3,0.775,0.7700837320574163,0.775,0.7670152761457109,0.7674126856684063,0.772079772079772,0.9420128706419029,0.6546038396478764,0.8271684427966935
13,Geral 3 - T4,0.4,0.25483870967741934,0.4,0.29772727272727273,0.26861313868613135,0.47863247863247865,0.734838981209949,0.2061739628302495,0.49402819950951965
14,Geral 3 - T5,0.8,0.810343567251462,0.8,0.7946560196560197,0.8011518157094863,0.772079772079772,0.8981169219072445,0.6990317019218399,0.8237828365655009
