,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Geral 1 - T1,0.875,0.8783333333333333,0.875,0.8757894736842105,0.8771077283372367,0.849002849002849,0.9790919952210274,0.8066117856795766,0.9017341908537043
1,Geral 1 - T2,0.875,0.8783333333333333,0.875,0.8757894736842105,0.8771077283372367,0.849002849002849,0.9764336917562723,0.8066117856795766,0.900848089698786
2,Geral 1 - T3,0.875,0.8783333333333333,0.875,0.8757894736842105,0.8771077283372367,0.849002849002849,0.9764336917562723,0.8066117856795766,0.900848089698786
3,Geral 1 - T4,0.875,0.8783333333333333,0.875,0.8757894736842105,0.8771077283372367,0.849002849002849,0.9789725209080047,0.8066117856795766,0.9016943660826969
4,Geral 1 - T5,0.875,0.8783333333333333,0.875,0.8757894736842105,0.8771077283372367,0.849002849002849,0.9772401433691755,0.8066117856795766,0.9011169069030872
5,Geral 2 - T1,0.675,0.6797152194211018,0.675,0.6642490118577075,0.6705569347595924,0.6837606837606837,0.7761696263712392,0.5155378681482661,0.7101624149638385
6,Geral 2 - T2,0.65,0.6932142857142857,0.65,0.6510652173913043,0.672114800248685,0.6723646723646723,0.784563375692408,0.49568844740243256,0.7096809494352551
7,Geral 2 - T3,0.675,0.6623868778280543,0.675,0.6596809712027103,0.6594017724195973,0.7022792022792023,0.8349713533181277,0.509686435103961,0.732217442672309
8,Geral 2 - T4,0.65,0.6575,0.65,0.6373270750988143,0.6461948633810817,0.6837606837606837,0.7671486369067013,0.48654503845520064,0.6990347280161555
9,Geral 2 - T5,0.675,0.6702540106951871,0.675,0.6702857142857143,0.6697636653982549,0.690883190883191,0.8285645432822852,0.5009885902984934,0.7297371331879102
10,Geral 3 - T1,0.875,0.8925000000000001,0.875,0.8757763975155279,0.8838381330685203,0.8603988603988603,0.9221624850657107,0.8143863571078135,0.8887998261776971
11,Geral 3 - T2,0.875,0.8783333333333333,0.875,0.8757894736842105,0.8771077283372367,0.849002849002849,0.9800179211469533,0.8066117856795766,0.902042832829013
12,Geral 3 - T3,0.7,0.6901403743315508,0.7,0.689642857142857,0.6888004895960832,0.727920227920228,0.8658703975236234,0.543461611441333,0.7608637050133115
13,Geral 3 - T4,0.875,0.8741071428571429,0.875,0.8736383442265794,0.8736921173559562,0.8376068376068376,0.9798984468339306,0.8051027001471455,0.8970658005989082
14,Geral 3 - T5,0.7,0.6901403743315508,0.7,0.689642857142857,0.6888004895960832,0.727920227920228,0.8677222493754753,0.543461611441333,0.7614809889639288
