,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Geral 1 - T1,0.7,0.8714285714285716,0.7,0.6314285714285715,0.6544592030360532,0.6923076923076924,0.9896057347670251,0.6421400230192755,0.7787908767035902
1,Geral 1 - T2,0.9,0.9307692307692307,0.9,0.9,0.9144529943124791,0.8974358974358975,0.9886798088410991,0.8596491228070176,0.9335229001964919
2,Geral 1 - T3,0.9,0.9307692307692307,0.9,0.9,0.9144529943124791,0.8974358974358975,0.9886798088410991,0.8596491228070176,0.9335229001964919
3,Geral 1 - T4,0.925,0.94375,0.925,0.9254658385093169,0.9342353525322741,0.923076923076923,0.9904121863799282,0.8921320713901824,0.9492414873297085
4,Geral 1 - T5,0.9,0.9307692307692307,0.9,0.9,0.9144529943124791,0.8974358974358975,0.9938769414575865,0.8596491228070176,0.935255277735321
5,Geral 2 - T1,0.625,0.5974999999999999,0.625,0.5682975113122172,0.5676316253637886,0.6438746438746438,0.802664412946671,0.4482231010601405,0.6713902273950345
6,Geral 2 - T2,0.575,0.5259469696969696,0.575,0.533421052631579,0.5231655438954346,0.5698005698005698,0.8056791028565222,0.3449094515684417,0.6328817388508422
7,Geral 2 - T3,0.625,0.5974999999999999,0.625,0.5682975113122172,0.5676316253637886,0.6438746438746438,0.8017384870207451,0.4482231010601405,0.6710815854197257
8,Geral 2 - T4,0.575,0.5259469696969696,0.575,0.533421052631579,0.5231655438954346,0.5698005698005698,0.8032869012707723,0.3449094515684417,0.6320843383222589
9,Geral 2 - T5,0.55,0.47532051282051285,0.55,0.5004692675745307,0.48184080898642134,0.5441595441595442,0.7636859183230151,0.3103062391175856,0.5965620904896602
10,Geral 3 - T1,0.85,0.8716783216783217,0.85,0.8513703208556149,0.8615869441697006,0.8603988603988603,0.9246117084826763,0.7808399831595542,0.882199171017079
11,Geral 3 - T2,0.85,0.8716783216783217,0.85,0.8513703208556149,0.8615869441697006,0.8603988603988603,0.9246117084826763,0.7808399831595542,0.882199171017079
12,Geral 3 - T3,0.9,0.9307692307692307,0.9,0.9,0.9144529943124791,0.8974358974358975,0.9262246117084828,0.8596491228070176,0.9127045011522865
13,Geral 3 - T4,0.85,0.8716783216783217,0.85,0.8513703208556149,0.8615869441697006,0.8603988603988603,0.9227598566308245,0.7808399831595542,0.8815818870664618
14,Geral 3 - T5,0.9,0.9307692307692307,0.9,0.9,0.9144529943124791,0.8974358974358975,0.9252986857825569,0.8596491228070176,0.912395859176978
