,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Geral 1 - T1,0.8,0.8761904761904763,0.8,0.7845588235294118,0.8175221811128275,0.7407407407407408,0.9083781362007167,0.7225429280066514,0.822213686018095
1,Geral 1 - T2,0.875,0.8950657894736842,0.875,0.867517640793503,0.8780633343179197,0.8262108262108262,0.9690262843488651,0.8119689938752443,0.891100148292537
2,Geral 1 - T3,0.875,0.8950657894736842,0.875,0.867517640793503,0.8780633343179197,0.8262108262108262,0.9690262843488651,0.8119689938752443,0.891100148292537
3,Geral 1 - T4,0.825,0.8200657894736842,0.825,0.8218378378378379,0.8206051621904429,0.7863247863247862,0.9722806017160857,0.7264831572567789,0.8597368500771049
4,Geral 1 - T5,0.825,0.8200657894736842,0.825,0.8218378378378379,0.8206051621904429,0.7863247863247862,0.9741324535679375,0.7264831572567789,0.8603541340277222
5,Geral 2 - T1,0.325,0.10562500000000001,0.325,0.15943396226415096,0.12210982658959538,0.3333333333333333,0.5,0.0,0.3184810533076429
6,Geral 2 - T2,0.5,0.5234375,0.5,0.5091277890466531,0.5171048463731391,0.517094017094017,0.7177392201585749,0.22634157113224274,0.5839793612085771
7,Geral 2 - T3,0.5,0.4665242165242166,0.5,0.4528225806451613,0.4557260920897285,0.4415954415954417,0.8158303464755079,0.25333560007368927,0.571050626720226
8,Geral 2 - T4,0.5,0.5041964285714285,0.5,0.5007109276459122,0.5024599447414173,0.517094017094017,0.6731556152927121,0.231449858709307,0.5642365257093821
9,Geral 2 - T5,0.6,0.6157967032967033,0.6,0.5914095371669005,0.6021978021978022,0.6467236467236467,0.7843488649940263,0.4121212300896847,0.6777567713051584
10,Geral 3 - T1,0.325,0.10562500000000001,0.325,0.15943396226415096,0.12210982658959538,0.3333333333333333,0.5,0.0,0.3184810533076429
11,Geral 3 - T2,0.5,0.5234375,0.5,0.5091277890466531,0.5171048463731391,0.517094017094017,0.7177392201585749,0.22634157113224274,0.5839793612085771
12,Geral 3 - T3,0.525,0.47857142857142854,0.525,0.4760416666666667,0.4733483483483483,0.4601139601139601,0.8369229933746063,0.28926816367892233,0.5901284339456382
13,Geral 3 - T4,0.5,0.5087987012987012,0.5,0.5008249158249157,0.5047274983698282,0.517094017094017,0.6697716411426089,0.2389917079052144,0.5638643855354847
14,Geral 3 - T5,0.6,0.617032967032967,0.6,0.5980113636363636,0.6070004430660167,0.6282051282051282,0.787666992505702,0.4035154503430323,0.6742908545922823
