,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Geral 1 - T1,0.9,0.9028571428571428,0.9,0.8973214285714285,0.8995557201036654,0.8632478632478632,0.9808243727598567,0.8462131047747014,0.9145426520371284
1,Geral 1 - T2,0.9,0.9,0.9,0.9,0.9,0.8746438746438746,0.9878136200716845,0.8440545808966862,0.9208191649051863
2,Geral 1 - T3,0.9,0.9028571428571428,0.9,0.8973214285714285,0.8995557201036654,0.8632478632478632,0.9886798088410991,0.8462131047747014,0.9171611307308759
3,Geral 1 - T4,0.9,0.9028571428571428,0.9,0.8973214285714285,0.8995557201036654,0.8632478632478632,0.9786887694145759,0.8462131047747014,0.9138307842553681
4,Geral 1 - T5,0.9,0.9090909090909092,0.9,0.9008333333333333,0.9048990400529625,0.886039886039886,0.9838261648745519,0.8485500880632478,0.9249216969891334
5,Geral 2 - T1,0.625,0.6428571428571429,0.625,0.625248015873016,0.6336585441276515,0.6538461538461539,0.8273704789833822,0.4383499724915987,0.7049583923190625
6,Geral 2 - T2,0.725,0.7195813397129187,0.725,0.7202376718824087,0.7193182424145471,0.7165242165242165,0.8463098729227763,0.5724114292885017,0.7607174439538467
7,Geral 2 - T3,0.55,0.55,0.55,0.5441558441558441,0.5463562753036437,0.584045584045584,0.7452475019007277,0.3190129364815493,0.6252164537499851
8,Geral 2 - T4,0.575,0.5515178571428571,0.575,0.5520460358056266,0.5495796311373854,0.613960113960114,0.81526623764527,0.362604778644581,0.6596019942475898
9,Geral 2 - T5,0.825,0.854642857142857,0.825,0.8257033248081841,0.8400766398810579,0.8347578347578347,0.8993333876398392,0.7483545431600928,0.8580559540929106
10,Geral 3 - T1,0.875,0.8982692307692307,0.875,0.8755815923207226,0.8866944446442574,0.8789173789173789,0.9424133811230586,0.8191734545219259,0.9026750682282317
11,Geral 3 - T2,0.875,0.8783333333333333,0.875,0.8757894736842105,0.8771077283372367,0.849002849002849,0.9611559139784946,0.8066117856795766,0.8957554971061935
12,Geral 3 - T3,0.825,0.8484615384615385,0.825,0.8268661773009599,0.837591444334947,0.8162393162393163,0.953134843054198,0.7418016996674347,0.8689885345428204
13,Geral 3 - T4,0.875,0.8954545454545455,0.875,0.8794047619047618,0.8877498980008159,0.8675213675213675,0.9367315629412403,0.8137444732594027,0.8973342761544746
14,Geral 3 - T5,0.9,0.9090909090909092,0.9,0.9008333333333333,0.9048990400529625,0.886039886039886,0.9561963723254046,0.8485500880632478,0.9157117661394176
