,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Geral 1 - T1,0.875,0.88125,0.875,0.8689655172413794,0.8737012987012989,0.8262108262108262,0.977479091995221,0.8101271280758544,0.8924637389691153
1,Geral 1 - T2,0.95,0.95,0.95,0.95,0.95,0.9373219373219372,0.9818697729988053,0.9220272904483431,0.9563972367735808
2,Geral 1 - T3,0.95,0.95,0.95,0.95,0.95,0.9373219373219372,0.981063321385902,0.9220272904483431,0.9561284195692797
3,Geral 1 - T4,0.925,0.9254464285714284,0.925,0.9241830065359478,0.9246818663838813,0.9002849002849004,0.9809438470728793,0.883458194078741,0.935303537913887
4,Geral 1 - T5,0.9,0.9,0.9,0.9,0.9,0.8746438746438746,0.9719235364396654,0.8440545808966862,0.9155224703611801
5,Geral 2 - T1,0.475,0.4828877005347594,0.475,0.4675000000000001,0.47350073057620234,0.5242165242165243,0.6903660258498968,0.21622628945445574,0.5626944268808746
6,Geral 2 - T2,0.475,0.4828877005347594,0.475,0.4675000000000001,0.47350073057620234,0.5242165242165243,0.6860866731834474,0.21622628945445574,0.561267975992058
7,Geral 2 - T3,0.675,0.6703947368421053,0.675,0.6722162162162162,0.671006278339728,0.690883190883191,0.7779624198979038,0.4911849686715874,0.7132839630402742
8,Geral 2 - T4,0.525,0.5593487394957983,0.525,0.5060869565217392,0.5261396011396011,0.5982905982905983,0.7088288801998479,0.3213616466234954,0.6110863598766824
9,Geral 2 - T5,0.675,0.6703947368421053,0.675,0.6722162162162162,0.671006278339728,0.690883190883191,0.7913109590528946,0.4911849686715874,0.7177334760919378
10,Geral 3 - T1,0.675,0.671875,0.675,0.6600250626566415,0.6631012053944385,0.6652421652421653,0.8165173237753883,0.5035402553738785,0.7149535648039974
11,Geral 3 - T2,0.45,0.4544871794871795,0.45,0.43925324675324673,0.444945185064206,0.4985754985754986,0.7389214727924405,0.18393538680017257,0.5608140521440483
12,Geral 3 - T3,0.925,0.9354066985645932,0.925,0.922946533490012,0.9284925732637493,0.923076923076923,0.9741039426523297,0.8894392978175182,0.9418911463310007
13,Geral 3 - T4,0.475,0.5075000000000001,0.475,0.4767023172905526,0.4914914288439071,0.5128205128205128,0.5511743781905072,0.2101388467308312,0.5184954399516424
14,Geral 3 - T5,0.925,0.9354066985645932,0.925,0.922946533490012,0.9284925732637493,0.923076923076923,0.9704002389486261,0.8894392978175182,0.9406565784297661
