,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Geral 1 - T1,0.925,0.9254464285714284,0.925,0.9241830065359478,0.9246818663838813,0.9002849002849004,0.9740143369175627,0.883458194078741,0.9329937011954481
1,Geral 1 - T2,0.9,0.9028571428571428,0.9,0.8973214285714285,0.8995557201036654,0.8632478632478632,0.9826762246117084,0.8462131047747014,0.9151599359877457
2,Geral 1 - T3,0.9,0.9028571428571428,0.9,0.8973214285714285,0.8995557201036654,0.8632478632478632,0.9826762246117084,0.8462131047747014,0.9151599359877457
3,Geral 1 - T4,0.95,0.95,0.95,0.95,0.95,0.9373219373219372,0.9896057347670251,0.9220272904483431,0.9589758906963208
4,Geral 1 - T5,0.9,0.9028571428571428,0.9,0.8973214285714285,0.8995557201036654,0.8632478632478632,0.9834826762246116,0.8462131047747014,0.9154287531920468
5,Geral 2 - T1,0.6,0.6163970588235295,0.6,0.6066806722689077,0.6121492785491729,0.5982905982905983,0.7799269577495384,0.3779304083457351,0.6634556115297698
6,Geral 2 - T2,0.6,0.5869318181818182,0.6,0.5902337858220212,0.5874927634725264,0.584045584045584,0.7642011512979254,0.3671241089267718,0.6452464996053453
7,Geral 2 - T3,0.7,0.7030882352941176,0.7,0.7007894736842104,0.7019933554817275,0.698005698005698,0.8361857825567502,0.5367665493030329,0.7453949453480586
8,Geral 2 - T4,0.625,0.53125,0.625,0.5525210084033614,0.5297186932849364,0.6182336182336182,0.6982947757141307,0.4333408306443945,0.6154156957442284
9,Geral 2 - T5,0.625,0.6154166666666667,0.625,0.6194736842105264,0.6168701906992305,0.6467236467236467,0.7841139893559249,0.41788321426773245,0.6825692755929341
10,Geral 3 - T1,0.6,0.6163970588235295,0.6,0.6066806722689077,0.6121492785491729,0.5982905982905983,0.7822838601064408,0.3779304083457351,0.6642412456487373
11,Geral 3 - T2,0.6,0.5869318181818182,0.6,0.5902337858220212,0.5874927634725264,0.584045584045584,0.7670698924731183,0.3671241089267718,0.6462027466637429
12,Geral 3 - T3,0.75,0.7545588235294118,0.75,0.7515037593984962,0.753156146179402,0.7421652421652422,0.8872868469642661,0.6141383041575242,0.7942027451029702
13,Geral 3 - T4,0.55,0.5102985829959514,0.55,0.5213027963027963,0.5124907956439174,0.5512820512820512,0.710744542196155,0.3120229880255098,0.5915057963740412
14,Geral 3 - T5,0.925,0.94375,0.925,0.9254658385093169,0.9342353525322741,0.923076923076923,0.9685483870967742,0.8921320713901824,0.9419535542353238
