,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Geral 1 - T1,0.9,0.9028571428571428,0.9,0.8973214285714285,0.8995557201036654,0.8632478632478632,0.9844086021505376,0.8462131047747014,0.9157373951673554
1,Geral 1 - T2,0.875,0.88125,0.875,0.8689655172413794,0.8737012987012989,0.8262108262108262,0.9790919952210275,0.8101271280758544,0.8930013733777175
2,Geral 1 - T3,0.875,0.88125,0.875,0.8689655172413794,0.8737012987012989,0.8262108262108262,0.9781660692951016,0.8101271280758544,0.8926927314024088
3,Geral 1 - T4,0.925,0.9254464285714284,0.925,0.9241830065359478,0.9246818663838813,0.9002849002849004,0.9913381123058542,0.883458194078741,0.9387682929915453
4,Geral 1 - T5,0.925,0.9279166666666667,0.925,0.9254736842105263,0.926706256273001,0.9116809116809117,0.9930704898446834,0.8843574999619455,0.9438192192661986
5,Geral 2 - T1,0.575,0.6530844155844155,0.575,0.5841687192118226,0.6175569932756135,0.6011396011396012,0.6194267948300206,0.3786078228879613,0.6127077964150786
6,Geral 2 - T2,0.575,0.6530844155844155,0.575,0.5841687192118226,0.6175569932756135,0.6011396011396012,0.6241826870859128,0.3786078228879613,0.6142930938337092
7,Geral 2 - T3,0.6,0.6267532467532467,0.6,0.6061607142857144,0.6166060089554533,0.6168091168091169,0.8114301618333876,0.3973597071195131,0.681615095865986
8,Geral 2 - T4,0.6,0.6290705128205129,0.6,0.6028225806451613,0.6154083839736327,0.6239316239316239,0.7654800695123276,0.4052326490441302,0.6682733591391948
9,Geral 2 - T5,0.675,0.685625,0.675,0.6784256392615525,0.6822766752512245,0.6794871794871794,0.8230327468230694,0.5014746938701652,0.7282655338538243
10,Geral 3 - T1,0.575,0.6530844155844155,0.575,0.5841687192118226,0.6175569932756135,0.6011396011396012,0.73897577929836,0.3786078228879613,0.6525574579045249
11,Geral 3 - T2,0.575,0.6530844155844155,0.575,0.5841687192118226,0.6175569932756135,0.6011396011396012,0.7376004670359508,0.3786078228879613,0.6520990204837219
12,Geral 3 - T3,0.725,0.758169642857143,0.725,0.733138611615245,0.7459196209196209,0.7307692307692308,0.9019183773216032,0.5882683908861553,0.7928690763368182
13,Geral 3 - T4,0.6,0.6290705128205129,0.6,0.6028225806451613,0.6154083839736327,0.6239316239316239,0.7518925817312914,0.4052326490441302,0.6637441965455161
14,Geral 3 - T5,0.725,0.758169642857143,0.725,0.733138611615245,0.7459196209196209,0.7307692307692308,0.899351037254263,0.5882683908861553,0.7920132963143716
