,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Geral 1 - T1,0.875,0.88125,0.875,0.8689655172413794,0.8737012987012989,0.8262108262108262,0.9773596176821983,0.8101271280758544,0.8924239141981077
1,Geral 1 - T2,0.875,0.8741071428571429,0.875,0.8736383442265794,0.8736921173559562,0.8376068376068376,0.9602747909199522,0.8051027001471455,0.8905245819609154
2,Geral 1 - T3,0.875,0.8741071428571429,0.875,0.8736383442265794,0.8736921173559562,0.8376068376068376,0.9620071684587813,0.8051027001471455,0.8911020411405252
3,Geral 1 - T4,0.925,0.9279166666666667,0.925,0.9254736842105263,0.926706256273001,0.9116809116809117,0.9879928315412186,0.8843574999619455,0.9421266664983771
4,Geral 1 - T5,0.825,0.8412499999999999,0.825,0.826086956521739,0.8334409136047667,0.7977207977207977,0.9592293906810034,0.7366406428254447,0.863463700668856
5,Geral 2 - T1,0.325,0.10562500000000001,0.325,0.15943396226415096,0.12210982658959538,0.3333333333333333,0.5,0.0,0.3184810533076429
6,Geral 2 - T2,0.425,0.5673611111111111,0.425,0.3360853432282004,0.3992600224803297,0.40740740740740744,0.6829097425871619,0.25754795831820293,0.49652572415829965
7,Geral 2 - T3,0.675,0.6912499999999999,0.675,0.6812120169705309,0.686756515967999,0.660968660968661,0.8090895514282612,0.5014746938701652,0.718938242788307
8,Geral 2 - T4,0.325,0.10562500000000001,0.325,0.15943396226415096,0.12210982658959538,0.3333333333333333,0.5,0.0,0.3184810533076429
9,Geral 2 - T5,0.675,0.6928571428571428,0.675,0.6695869565217392,0.6804701612078661,0.7094017094017094,0.8206201802975996,0.5225744213546133,0.7368306836357249
10,Geral 3 - T1,0.325,0.10562500000000001,0.325,0.15943396226415096,0.12210982658959538,0.3333333333333333,0.5,0.0,0.3184810533076429
11,Geral 3 - T2,0.45,0.5707142857142857,0.45,0.37169384057971017,0.434124527003784,0.4259259259259259,0.6415797762571955,0.292031935021026,0.5005434097289685
12,Geral 3 - T3,0.675,0.7153571428571428,0.675,0.6870406079854809,0.7018565411422555,0.6680911680911681,0.8379263060714675,0.511118437983053,0.7359580051016303
13,Geral 3 - T4,0.325,0.10562500000000001,0.325,0.15943396226415096,0.12210982658959538,0.3333333333333333,0.5,0.0,0.3184810533076429
14,Geral 3 - T5,0.75,0.7736263736263737,0.75,0.7497159090909091,0.7612538768276473,0.7792022792022792,0.8413910611491258,0.6330029102537617,0.7939490723930174
