,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Amostra 1 - T1,0.85,0.6363636363636364,0.7777777777777778,0.7000000000000001,0.660377358490566,0.8243727598566308,0.9354838709677419,0.6067099699809586,0.8067446631049796
1,Amostra 1 - T2,0.925,0.875,0.7777777777777778,0.823529411764706,0.8536585365853658,0.8727598566308243,0.967741935483871,0.7782896421160245,0.8980534429000203
2,Amostra 1 - T3,0.925,0.875,0.7777777777777778,0.823529411764706,0.8536585365853658,0.8727598566308243,0.967741935483871,0.7782896421160245,0.8980534429000203
3,Amostra 1 - T4,0.9,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8566308243727598,0.9677419354838709,0.7132616487455197,0.8673835125448028
4,Amostra 1 - T5,0.9,0.8571428571428571,0.6666666666666666,0.75,0.8108108108108107,0.8172043010752688,0.9569892473118279,0.6972125160644389,0.8616681197326358
5,Amostra 2 - T1,0.925,0.8,0.8888888888888888,0.8421052631578948,0.8163265306122449,0.9121863799283154,0.9569892473118279,0.794996299293326,0.895167385950796
6,Amostra 2 - T2,0.85,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7849462365591398,0.9211469534050178,0.5698924731182796,0.7909199522102748
7,Amostra 2 - T3,0.825,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.6140350877192983,0.8082437275985663,0.9157706093189965,0.5617676245298947,0.779349808212287
8,Amostra 2 - T4,0.85,0.6363636363636364,0.7777777777777778,0.7000000000000001,0.660377358490566,0.8243727598566308,0.935483870967742,0.6067099699809586,0.8067446631049796
9,Amostra 2 - T5,0.9,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.7547169811320754,0.8960573476702509,0.935483870967742,0.740789521357966,0.8620860665900228
10,Amostra 3 - T1,0.875,0.7,0.7777777777777778,0.7368421052631577,0.7142857142857143,0.8405017921146953,0.953405017921147,0.6567360733292693,0.8360641747738522
11,Amostra 3 - T2,0.875,0.7,0.7777777777777778,0.7368421052631577,0.7142857142857143,0.8405017921146953,0.946236559139785,0.6567360733292693,0.8336746885133982
12,Amostra 3 - T3,0.875,0.75,0.6666666666666666,0.7058823529411765,0.7317073170731707,0.8010752688172043,0.935483870967742,0.6286185570937121,0.8227554856193723
13,Amostra 3 - T4,0.875,0.7,0.7777777777777778,0.7368421052631577,0.7142857142857143,0.8405017921146953,0.9086021505376345,0.6567360733292693,0.8211298856460147
14,Amostra 3 - T5,0.95,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9283154121863799,0.956989247311828,0.8566308243727598,0.924731182795699
