,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Amostra 1 - T1,0.925,0.875,0.7777777777777778,0.823529411764706,0.8536585365853658,0.8727598566308243,0.8727598566308243,0.7782896421160245,0.8663927499490048
1,Amostra 1 - T2,0.85,0.7142857142857143,0.5555555555555556,0.6250000000000001,0.6756756756756758,0.7455197132616487,0.903225806451613,0.5396503655414019,0.7748070651296458
2,Amostra 1 - T3,0.9,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8566308243727598,0.96415770609319,0.7132616487455197,0.8661887694145758
3,Amostra 1 - T4,0.9,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.7547169811320754,0.8960573476702509,0.9695340501792115,0.740789521357966,0.8734361263271793
4,Amostra 1 - T5,0.9,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8566308243727598,0.96415770609319,0.7132616487455197,0.8661887694145758
5,Amostra 2 - T1,0.775,0.5,0.6666666666666666,0.5714285714285715,0.5263157894736842,0.7365591397849462,0.736559139784946,0.4311239909182913,0.6664780230145255
6,Amostra 2 - T2,0.925,0.75,1.0,0.8571428571428571,0.7894736842105263,0.9516129032258065,0.9408602150537634,0.8230548917531015,0.8939822674966987
7,Amostra 2 - T3,0.825,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.6140350877192983,0.8082437275985663,0.9301075268817205,0.5617676245298947,0.784128780733195
8,Amostra 2 - T4,0.825,0.625,0.5555555555555556,0.5882352941176471,0.6097560975609756,0.7293906810035842,0.9283154121863799,0.4789474720713997,0.7558207302503132
9,Amostra 2 - T5,0.775,0.5,0.6666666666666666,0.5714285714285715,0.5263157894736842,0.7365591397849462,0.7168458781362006,0.4311239909182913,0.6599069357982771
10,Amostra 3 - T1,0.85,0.6363636363636364,0.7777777777777778,0.7000000000000001,0.660377358490566,0.8243727598566308,0.8243727598566308,0.6067099699809586,0.7697076260679426
11,Amostra 3 - T2,0.925,0.75,1.0,0.8571428571428571,0.7894736842105263,0.9516129032258065,0.9695340501792115,0.8230548917531015,0.9035402125385148
12,Amostra 3 - T3,0.9,0.6923076923076923,1.0,0.8181818181818181,0.7377049180327869,0.935483870967742,0.9444444444444444,0.7765163665331185,0.8725444111483244
13,Amostra 3 - T4,0.825,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.606060606060606,0.6899641577060931,0.8172043010752688,0.4443126517646069,0.704409688280656
14,Amostra 3 - T5,0.875,0.75,0.6666666666666666,0.7058823529411765,0.7317073170731707,0.8010752688172043,0.9157706093189963,0.6286185570937121,0.8161843984031237
