,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Amostra 1 - T1,0.9,0.8571428571428571,0.6666666666666666,0.75,0.8108108108108107,0.8172043010752688,0.96415770609319,0.6972125160644389,0.8640576059930898
1,Amostra 1 - T2,0.875,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.7575757575757576,0.7616487455197133,0.967741935483871,0.6119778033738925,0.8289888128597807
2,Amostra 1 - T3,0.875,0.75,0.6666666666666666,0.7058823529411765,0.7317073170731707,0.8010752688172043,0.9534050179211468,0.6286185570937121,0.8287292012705073
3,Amostra 1 - T4,0.9,0.8571428571428571,0.6666666666666666,0.75,0.8108108108108107,0.8172043010752688,0.9587813620071685,0.6972125160644389,0.8622654912977493
4,Amostra 1 - T5,0.95,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9283154121863799,0.974910394265233,0.8566308243727598,0.9307048984468339
5,Amostra 2 - T1,0.875,0.75,0.6666666666666666,0.7058823529411765,0.7317073170731707,0.8010752688172043,0.935483870967742,0.6286185570937121,0.8227554856193723
6,Amostra 2 - T2,0.875,0.7,0.7777777777777778,0.7368421052631577,0.7142857142857143,0.8405017921146953,0.9050179211469535,0.6567360733292693,0.8199351425157877
7,Amostra 2 - T3,0.85,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7849462365591398,0.9408602150537635,0.5698924731182796,0.7974910394265233
8,Amostra 2 - T4,0.875,0.75,0.6666666666666666,0.7058823529411765,0.7317073170731707,0.8010752688172043,0.935483870967742,0.6286185570937121,0.8227554856193723
9,Amostra 2 - T5,0.85,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7849462365591398,0.9265232974910395,0.5698924731182796,0.7927120669056152
10,Amostra 3 - T1,0.85,0.6363636363636364,0.7777777777777778,0.7000000000000001,0.660377358490566,0.8243727598566308,0.935483870967742,0.6067099699809586,0.8067446631049796
11,Amostra 3 - T2,0.9,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8566308243727598,0.9480286738351253,0.7132616487455197,0.8608124253285543
12,Amostra 3 - T3,0.875,0.7,0.7777777777777778,0.7368421052631577,0.7142857142857143,0.8405017921146953,0.946236559139785,0.6567360733292693,0.8336746885133982
13,Amostra 3 - T4,0.875,0.6666666666666666,0.8888888888888888,0.761904761904762,0.7017543859649121,0.8799283154121864,0.9301075268817205,0.6924112581414982,0.8372634094196063
14,Amostra 3 - T5,0.9,0.8571428571428571,0.6666666666666666,0.75,0.8108108108108107,0.8172043010752688,0.960573476702509,0.6972125160644389,0.8628628628628628
