,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Amostra 1 - T1,0.9,1.0,0.5555555555555556,0.7142857142857143,0.8620689655172413,0.7777777777777778,0.9802867383512545,0.7014723744122018,0.8733778272154246
1,Amostra 1 - T2,0.875,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.7575757575757576,0.7616487455197133,0.9551971326164874,0.6119778033738925,0.8248072119039861
2,Amostra 1 - T3,0.875,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.7575757575757576,0.7616487455197133,0.9551971326164874,0.6119778033738925,0.8248072119039861
3,Amostra 1 - T4,0.9,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8566308243727598,0.9731182795698925,0.7132616487455197,0.8691756272401433
4,Amostra 1 - T5,0.875,0.75,0.6666666666666666,0.7058823529411765,0.7317073170731707,0.8010752688172043,0.8010752688172043,0.6286185570937121,0.7779526182358598
5,Amostra 2 - T1,0.875,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.7575757575757576,0.7616487455197133,0.8261648745519714,0.6119778033738925,0.7817964592158141
6,Amostra 2 - T2,0.9,0.8571428571428571,0.6666666666666666,0.75,0.8108108108108107,0.8172043010752688,0.8243727598566308,0.6972125160644389,0.8174626239142367
7,Amostra 2 - T3,0.825,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.606060606060606,0.6899641577060931,0.9336917562724014,0.4443126517646069,0.7432388400130335
8,Amostra 2 - T4,0.825,0.6,0.6666666666666666,0.631578947368421,0.6122448979591837,0.7688172043010753,0.8064516129032258,0.5184758473652127,0.7291712383878283
9,Amostra 2 - T5,0.825,0.6,0.6666666666666666,0.631578947368421,0.6122448979591837,0.7688172043010753,0.917562724014337,0.5184758473652127,0.7662082754248654
10,Amostra 3 - T1,0.875,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.7575757575757576,0.7616487455197133,0.8261648745519714,0.6119778033738925,0.7817964592158141
11,Amostra 3 - T2,0.9,0.8571428571428571,0.6666666666666666,0.75,0.8108108108108107,0.8172043010752688,0.8243727598566308,0.6972125160644389,0.8174626239142367
12,Amostra 3 - T3,0.85,0.7142857142857143,0.5555555555555556,0.6250000000000001,0.6756756756756758,0.7455197132616487,0.9372759856630825,0.5396503655414019,0.7861571248668023
13,Amostra 3 - T4,0.75,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.6415770609318996,0.6415770609318997,0.2831541218637993,0.5758661887694146
14,Amostra 3 - T5,0.875,0.7,0.7777777777777778,0.7368421052631577,0.7142857142857143,0.8405017921146953,0.8405017921146952,0.6567360733292693,0.7984297661717017
