,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Amostra 1 - T1,0.875,1.0,0.4444444444444444,0.6153846153846153,0.8,0.7222222222222222,0.967741935483871,0.6186404847588913,0.8299880525686977
1,Amostra 1 - T2,0.9,1.0,0.5555555555555556,0.7142857142857143,0.8620689655172413,0.7777777777777778,0.956989247311828,0.7014723744122018,0.8656119968689491
2,Amostra 1 - T3,0.9,1.0,0.5555555555555556,0.7142857142857143,0.8620689655172413,0.7777777777777778,0.956989247311828,0.7014723744122018,0.8656119968689491
3,Amostra 1 - T4,0.85,1.0,0.3333333333333333,0.5,0.7142857142857143,0.6666666666666666,0.6863799283154122,0.5284688063445934,0.689110769755931
4,Amostra 1 - T5,0.85,1.0,0.3333333333333333,0.5,0.7142857142857143,0.6666666666666666,0.6863799283154122,0.5284688063445934,0.689110769755931
5,Amostra 2 - T1,0.875,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.7575757575757576,0.7616487455197133,0.9157706093189965,0.6119778033738925,0.8116650374714891
6,Amostra 2 - T2,0.875,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.7575757575757576,0.7616487455197133,0.9157706093189965,0.6119778033738925,0.8116650374714891
7,Amostra 2 - T3,0.775,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.3333333333333333
8,Amostra 2 - T4,0.875,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.7575757575757576,0.7616487455197133,0.9103942652329748,0.6119778033738925,0.8098729227761486
9,Amostra 2 - T5,0.775,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.3333333333333333
10,Amostra 3 - T1,0.875,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.7575757575757576,0.7616487455197133,0.9157706093189965,0.6119778033738925,0.8116650374714891
11,Amostra 3 - T2,0.875,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.7575757575757576,0.7616487455197133,0.9157706093189965,0.6119778033738925,0.8116650374714891
12,Amostra 3 - T3,0.775,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.3333333333333333
13,Amostra 3 - T4,0.9,0.8571428571428571,0.6666666666666666,0.75,0.8108108108108107,0.8172043010752688,0.913978494623656,0.6972125160644389,0.8473312021699119
14,Amostra 3 - T5,0.775,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.3333333333333333
