,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Amostra 1 - T1,0.875,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.7575757575757576,0.7616487455197133,0.953405017921147,0.6119778033738925,0.8242098403388726
1,Amostra 1 - T2,0.9,0.8571428571428571,0.6666666666666666,0.75,0.8108108108108107,0.8172043010752688,0.9767025089605734,0.6972125160644389,0.8682392069488843
2,Amostra 1 - T3,0.875,0.75,0.6666666666666666,0.7058823529411765,0.7317073170731707,0.8010752688172043,0.953405017921147,0.6286185570937121,0.8287292012705073
3,Amostra 1 - T4,0.875,0.75,0.6666666666666666,0.7058823529411765,0.7317073170731707,0.8010752688172043,0.956989247311828,0.6286185570937121,0.8299239444007344
4,Amostra 1 - T5,0.875,0.75,0.6666666666666666,0.7058823529411765,0.7317073170731707,0.8010752688172043,0.9534050179211471,0.6286185570937121,0.8287292012705073
5,Amostra 2 - T1,0.925,0.8,0.8888888888888888,0.8421052631578948,0.8163265306122449,0.9121863799283154,0.9605734767025089,0.794996299293326,0.8963621290810231
6,Amostra 2 - T2,0.875,0.7,0.7777777777777778,0.7368421052631577,0.7142857142857143,0.8405017921146953,0.9551971326164874,0.6567360733292693,0.8366615463389658
7,Amostra 2 - T3,0.925,0.875,0.7777777777777778,0.823529411764706,0.8536585365853658,0.8727598566308243,0.9623655913978495,0.7782896421160245,0.8962613282046799
8,Amostra 2 - T4,0.875,0.6666666666666666,0.8888888888888888,0.761904761904762,0.7017543859649121,0.8799283154121864,0.9480286738351253,0.6924112581414982,0.8432371250707412
9,Amostra 2 - T5,0.9,0.6923076923076923,1.0,0.8181818181818181,0.7377049180327869,0.935483870967742,0.956989247311828,0.7765163665331185,0.876726012104119
10,Amostra 3 - T1,0.9,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.7547169811320754,0.8960573476702509,0.953405017921147,0.740789521357966,0.8680597822411578
11,Amostra 3 - T2,0.875,0.7,0.7777777777777778,0.7368421052631577,0.7142857142857143,0.8405017921146953,0.956989247311828,0.6567360733292693,0.8372589179040792
12,Amostra 3 - T3,0.925,0.875,0.7777777777777778,0.823529411764706,0.8536585365853658,0.8727598566308243,0.9587813620071685,0.7782896421160245,0.8950665850744528
13,Amostra 3 - T4,0.875,0.7,0.7777777777777778,0.7368421052631577,0.7142857142857143,0.8405017921146953,0.9569892473118279,0.6567360733292693,0.8372589179040792
14,Amostra 3 - T5,0.875,0.7,0.7777777777777778,0.7368421052631577,0.7142857142857143,0.8405017921146953,0.9516129032258065,0.6567360733292693,0.8354668032087388
