,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Amostra 1 - T1,0.875,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.7575757575757576,0.7616487455197133,0.9318996415770608,0.6119778033738925,0.8170413815575106
1,Amostra 1 - T2,0.9,0.8571428571428571,0.6666666666666666,0.75,0.8108108108108107,0.8172043010752688,0.9498207885304659,0.6972125160644389,0.8592786334721817
2,Amostra 1 - T3,0.9,0.8571428571428571,0.6666666666666666,0.75,0.8108108108108107,0.8172043010752688,0.9498207885304659,0.6972125160644389,0.8592786334721817
3,Amostra 1 - T4,0.9,0.8571428571428571,0.6666666666666666,0.75,0.8108108108108107,0.8172043010752688,0.9534050179211468,0.6972125160644389,0.8604733766024087
4,Amostra 1 - T5,0.925,0.875,0.7777777777777778,0.823529411764706,0.8536585365853658,0.8727598566308243,0.931899641577061,0.7782896421160245,0.8861060115977503
5,Amostra 2 - T1,0.85,0.6363636363636364,0.7777777777777778,0.7000000000000001,0.660377358490566,0.8243727598566308,0.9032258064516129,0.6067099699809586,0.7959919749329366
6,Amostra 2 - T2,0.825,0.625,0.5555555555555556,0.5882352941176471,0.6097560975609756,0.7293906810035842,0.8243727598566308,0.4789474720713997,0.7211731794737303
7,Amostra 2 - T3,0.95,0.8181818181818182,1.0,0.9,0.8490566037735848,0.967741935483871,0.9641577060931901,0.8748690727349735,0.926985415116882
8,Amostra 2 - T4,0.875,0.6666666666666666,0.8888888888888888,0.761904761904762,0.7017543859649121,0.8799283154121864,0.9462365591397849,0.6924112581414982,0.8426397535056278
9,Amostra 2 - T5,0.95,0.8181818181818182,1.0,0.9,0.8490566037735848,0.967741935483871,0.9641577060931901,0.8748690727349735,0.926985415116882
10,Amostra 3 - T1,0.85,0.6363636363636364,0.7777777777777778,0.7000000000000001,0.660377358490566,0.8243727598566308,0.9032258064516129,0.6067099699809586,0.7959919749329366
11,Amostra 3 - T2,0.825,0.625,0.5555555555555556,0.5882352941176471,0.6097560975609756,0.7293906810035842,0.8172043010752689,0.4789474720713997,0.7187836932132763
12,Amostra 3 - T3,0.925,0.75,1.0,0.8571428571428571,0.7894736842105263,0.9516129032258065,0.971326164874552,0.8230548917531015,0.9041375841036282
13,Amostra 3 - T4,0.875,0.7,0.7777777777777778,0.7368421052631577,0.7142857142857143,0.8405017921146953,0.8960573476702508,0.6567360733292693,0.8169482846902202
14,Amostra 3 - T5,0.925,0.75,1.0,0.8571428571428571,0.7894736842105263,0.9516129032258065,0.971326164874552,0.8230548917531015,0.9041375841036282
