,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Amostra 1 - T1,0.875,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.7575757575757576,0.7616487455197133,0.985663082437276,0.6119778033738925,0.8349625285109156
1,Amostra 1 - T2,0.9,0.8571428571428571,0.6666666666666666,0.75,0.8108108108108107,0.8172043010752688,0.953405017921147,0.6972125160644389,0.8604733766024087
2,Amostra 1 - T3,0.9,0.8571428571428571,0.6666666666666666,0.75,0.8108108108108107,0.8172043010752688,0.953405017921147,0.6972125160644389,0.8604733766024087
3,Amostra 1 - T4,0.9,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8566308243727598,0.9605734767025089,0.7132616487455197,0.8649940262843488
4,Amostra 1 - T5,0.95,1.0,0.7777777777777778,0.8750000000000001,0.945945945945946,0.8888888888888888,0.953405017921147,0.8547746665874759,0.9294132842519939
5,Amostra 2 - T1,0.875,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.7575757575757576,0.7616487455197133,0.9211469534050178,0.6119778033738925,0.8134571521668296
6,Amostra 2 - T2,0.875,0.75,0.6666666666666666,0.7058823529411765,0.7317073170731707,0.8010752688172043,0.9569892473118279,0.6286185570937121,0.8299239444007344
7,Amostra 2 - T3,0.875,0.7,0.7777777777777778,0.7368421052631577,0.7142857142857143,0.8405017921146953,0.921146953405018,0.6567360733292693,0.8253114866018092
8,Amostra 2 - T4,0.875,0.6666666666666666,0.8888888888888888,0.761904761904762,0.7017543859649121,0.8799283154121864,0.946236559139785,0.6924112581414982,0.8426397535056278
9,Amostra 2 - T5,0.925,0.8,0.8888888888888888,0.8421052631578948,0.8163265306122449,0.9121863799283154,0.9354838709677419,0.794996299293326,0.8879989271694341
10,Amostra 3 - T1,0.875,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.7575757575757576,0.7616487455197133,0.9211469534050178,0.6119778033738925,0.8134571521668296
11,Amostra 3 - T2,0.9,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8566308243727598,0.946236559139785,0.7132616487455197,0.8602150537634409
12,Amostra 3 - T3,0.875,0.7,0.7777777777777778,0.7368421052631577,0.7142857142857143,0.8405017921146953,0.9498207885304659,0.6567360733292693,0.8348694316436251
13,Amostra 3 - T4,0.6,0.26666666666666666,0.4444444444444444,0.33333333333333337,0.2898550724637681,0.5448028673835126,0.4874551971326165,0.07728981596002804,0.440704378993299
14,Amostra 3 - T5,0.925,0.8,0.8888888888888888,0.8421052631578948,0.8163265306122449,0.9121863799283154,0.9283154121863799,0.794996299293326,0.8856094409089801
