,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Amostra 1 - T1,0.85,0.7142857142857143,0.5555555555555556,0.6250000000000001,0.6756756756756758,0.7455197132616487,0.942652329749104,0.5396503655414019,0.7879492395621428
1,Amostra 1 - T2,0.85,0.7142857142857143,0.5555555555555556,0.6250000000000001,0.6756756756756758,0.7455197132616487,0.9498207885304659,0.5396503655414019,0.7903387258225969
2,Amostra 1 - T3,0.85,0.7142857142857143,0.5555555555555556,0.6250000000000001,0.6756756756756758,0.7455197132616487,0.9498207885304659,0.5396503655414019,0.7903387258225969
3,Amostra 1 - T4,0.925,0.875,0.7777777777777778,0.823529411764706,0.8536585365853658,0.8727598566308243,0.974910394265233,0.7782896421160245,0.9004429291604743
4,Amostra 1 - T5,0.875,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.7575757575757576,0.7616487455197133,0.96415770609319,0.6119778033738925,0.8277940697295536
5,Amostra 2 - T1,0.875,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.7575757575757576,0.7616487455197133,0.7992831541218638,0.6119778033738925,0.7728358857391115
6,Amostra 2 - T2,0.85,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7849462365591398,0.9175627240143368,0.5698924731182796,0.7897252090800477
7,Amostra 2 - T3,0.9,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8566308243727598,0.9498207885304659,0.7132616487455197,0.8614097968936679
8,Amostra 2 - T4,0.85,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7849462365591398,0.946236559139785,0.5698924731182796,0.7992831541218638
9,Amostra 2 - T5,0.9,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.7547169811320754,0.8960573476702509,0.942652329749104,0.740789521357966,0.8644755528504767
10,Amostra 3 - T1,0.875,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.7575757575757576,0.7616487455197133,0.7992831541218638,0.6119778033738925,0.7728358857391115
11,Amostra 3 - T2,0.85,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7849462365591398,0.9175627240143368,0.5698924731182796,0.7897252090800477
12,Amostra 3 - T3,0.9,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8566308243727598,0.9498207885304659,0.7132616487455197,0.8614097968936679
13,Amostra 3 - T4,0.875,0.7,0.7777777777777778,0.7368421052631577,0.7142857142857143,0.8405017921146953,0.9605734767025089,0.6567360733292693,0.8384536610343062
14,Amostra 3 - T5,0.875,0.7,0.7777777777777778,0.7368421052631577,0.7142857142857143,0.8405017921146953,0.946236559139785,0.6567360733292693,0.8336746885133982
